Id,Name,Usage,Disease,Disease ID,In a panel,Evidence level,Type,Source,Source ID,Assay/Test,Pmid,Molecular type,Molecular ID,Treatment
1,Calbindin,DiagnosticBM,Abnormality of the nephron,http://purl.obolibrary.org/obo/HP_0012575,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,23864347,Protein,P05937,
2,Leucine-rich alpha-2-glycoprotein,DiagnosticBM,Acute appendicitis,http://ns.ontoforce.com/datasets/icd10/K35,No,,Molecular Biomarker,Urine,UBERON_0001088,High performance liquid chromatography-mass spectrometry,19556024,Protein,P02750,
3,Protein S100-A8,DiagnosticBM,Acute appendicitis,http://ns.ontoforce.com/datasets/icd10/K35,No,,Molecular Biomarker,Urine,UBERON_0001088,High performance liquid chromatography-mass spectrometry,19556024,Protein,P05109,
4,Alpha-1-acid glycoprotein 1,DiagnosticBM,Acute appendicitis,http://ns.ontoforce.com/datasets/icd10/K35,No,,Molecular Biomarker,Urine,UBERON_0001088,High performance liquid chromatography-mass spectrometry,19556024,Protein,P02763,
5,Plasminogen,DiagnosticBM,Acute appendicitis,http://ns.ontoforce.com/datasets/icd10/K35,No,,Molecular Biomarker,Urine,UBERON_0001088,High performance liquid chromatography-mass spectrometry,19556024,Protein,P00747,
6,Mannan-binding lectin serine protease 2,DiagnosticBM,Acute appendicitis,http://ns.ontoforce.com/datasets/icd10/K35,No,,Molecular Biomarker,Urine,UBERON_0001088,High performance liquid chromatography-mass spectrometry,19556024,Protein,O00187,
7,Zinc-alpha-2-glycoprotein,DiagnosticBM,Acute appendicitis,http://ns.ontoforce.com/datasets/icd10/K35,No,,Molecular Biomarker,Urine,UBERON_0001088,High performance liquid chromatography-mass spectrometry,19556024,Protein,P25311,
8,Alpha-1-antichymotrypsin,DiagnosticBM,Acute appendicitis,http://ns.ontoforce.com/datasets/icd10/K35,No,,Molecular Biomarker,Urine,UBERON_0001088,High performance liquid chromatography-mass spectrometry,19556024,Protein,P01011,
9,Apolipoprotein D,DiagnosticBM,Acute appendicitis,http://ns.ontoforce.com/datasets/icd10/K35,No,,Molecular Biomarker,Urine,UBERON_0001088,High performance liquid chromatography-mass spectrometry,19556024,Protein,P05090,
10,Leucine-rich alpha-2-glycoprotein,DiagnosticBM,Acute appendicitis,http://ns.ontoforce.com/datasets/icd10/K35,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA)|mass spectrometry,22305331,Protein,P02750,
11,Vascular cell adhesion protein 1,PrognosticBM,Acute Humoral Allograft Nephropathy,http://ns.ontoforce.com/datasets/nci/C114841,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),12806188,Protein,P19320,
12,Complement C4-B|Complement C4-A,PrognosticBM,Acute Humoral Allograft Nephropathy,http://ns.ontoforce.com/datasets/nci/C114841,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),12806188,Protein,P0C0L5|P0C0L4,
13,Sodium/hydrogen exchanger 3,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,12955677,Protein,P48764,
14,Alpha-2-HS-glycoprotein,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,17021608,Protein,P24090,
15,Annexin A5,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,17021608,Protein,P14668,
16,Netrin-1,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,18234954,Protein,O09118,
17,Serum albumin,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,16760904,Protein,P02770,
18,Alpha-1-antiproteinase,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,16760904,Protein,P17475,
19,Major urinary protein,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,16760904,Protein,P02761,
20,Aminopeptidase N,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,16760904,Protein,P15684,
21,Cadherin-1,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,16760904,Protein,Q9R0T4,
22,Serine protease inhibitor A3L,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,16760904,Protein,P05544,
23,Ezrin,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,16760904,Protein,P31977,
24,Prostatic glandular kallikrein-6,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,16760904,Protein,P36374,
25,Meprin A subunit alpha,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,16760904,Protein,Q64230,
26,Moesin,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,16760904,Protein,P26041,
27,"Actin, cytoplasmic 1",DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,16760904,Protein,P60710,
28,Splicing factor 3A subunit 3,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,16760904,Protein,Q9D554,
29,Serine protease inhibitor A3K,DiagnosticBM,Acute kidney failure,http://purl.obolibrary.org/obo/DOID_3021,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,16760904,Protein,P05545,
